id,text
1,"This movie is absolutely fantastic! I loved every moment of it."
2,"Terrible experience. Would not recommend to anyone."
3,"The product quality is amazing and the customer service was excellent."
4,"Very disappointed with the purchase. Complete waste of money."
5,"Outstanding performance! Best investment I've made this year."
6,"The service was okay, nothing special but not terrible either."
7,"I'm extremely unhappy with this purchase. Poor quality."
8,"Incredible! Exceeded all my expectations."
9,"Not worth the price. Very disappointed."
10,"Highly recommend! Five stars all the way."
